Title,Author,Category
Nic bardziej mylnego,Radek Kotarski,Learning & Education
Live Life in Crescendo,"Stephen R. Covey, Cynthia Covey Haller",Faith & Worldview
Rozmowy Tuskulańskie,Cyceron,Faith & Worldview
Bible,Jehovah God,Faith & Worldview
Noise. Living and leading when nobody can focus,Joseph McCormack,Language & Communication
Brief. Make a bigger impact by saying less.,Joseph McCormack,Language & Communication
Fluent Forever,Gabriel Wyner,Language & Communication
Relacje Interpersonalne. Proces Porozumiewania się,Ronald B. Adler,Language & Communication
Influence. The Psychology of Persuasion.,Robert B. Cialdini,Language & Communication
How to Win Friends and Influence People,Dale Carnagie,Language & Communication
Supercommunicators,Charles Duhigg,Language & Communication
Ted Talks,Chris Anderson,Language & Communication
Rhetoric,Aristotle,Language & Communication
How to be heard,Julian Treasure,Language & Communication
The Story Advantage,LJ Bloom,Language & Communication
Mind Maps for Business,Tony Buzan,Language & Communication
Humans of New York,Brandon Stanton,Biographies
Droga do Nobla - Historia Marii Skłodowskiej Curie,Ewa Nowak,Biographies
Leonardo da Vinci,Walter Isaacson,Biographies
Steve Jobs,Walter Isaacson,Biographies
Einstein,Walter Isaacson,Biographies
Benjamin Franklin,Walter Isaacson,Biographies
"Pan raczy żartować, panie Feynman!",Richard P. Feynman,Biographies
"A co Ciebie obchodzi, co myślą inni?",Richard P. Feynman,Biographies
My Inventions. The Autobiography of Nikola Tesla,Nikola Tesla,Science & Nature
A Short History of Nearly Everything,Bill Bryson,Science & Nature
The Body. A guide for occupants.,Bill Bryson,Science & Nature
Tytani. Wybitni naukowcy i wizjonerzy o granicach poznania,Maciej Kawecki,Science & Nature
Kosmiczne Zachwyty,Neil deGrasse Tyson,Science & Nature
Astrofizyka dla Zabieganych,Neil deGrasse Tyson,Science & Nature
Outlive. The Science & Art of Longevity.,Peter Attia,Science & Nature
Podręcznik Projektowania Architektoniczno-Budowlanego,Neufert,Science & Nature
The Privileged Planet,Guillermo Gonzalez,Science & Nature
"Odporność. Podróż w głąb tajemniczego układu, który utrzymuje nas przy życiu",Philipp Dettmer,Science & Nature
Niewidzialna obrona. Przełomowe odkrycia dotyczące układu immunologicznego,Matt Richtel,Science & Nature
Przepis na człowieka,Dawid Myśliwiec,Science & Nature
Tak działa mózg,Asia Podgórska,Science & Nature
